epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_qwk,val_referable_sensitivity,val_referable_specificity,lr
1,0.6721,0.758,0.5507,0.8003,0.5643,0.8393,0.9048,0.9456,0.0002991810233575568
2,0.4674,0.8152,0.5045,0.8103,0.6381,0.8981,0.9563,0.914,0.0002967330663097039
3,0.3619,0.8657,0.4713,0.8353,0.6678,0.8994,0.9603,0.9226,0.0002926829491861254
4,0.259,0.9053,0.5664,0.817,0.6637,0.8699,0.8135,0.9656,0.00028707504591756876
5,0.2107,0.9232,0.5913,0.8136,0.6906,0.8729,0.8254,0.9656,0.00027997079786577355
6,0.1542,0.9441,0.6318,0.822,0.6571,0.8977,0.9206,0.9456,0.0002714480406590546
7,0.1004,0.965,0.6402,0.8336,0.69,0.8851,0.873,0.9628,0.0002616001514088704
8,0.0821,0.972,0.7168,0.8303,0.6598,0.8675,0.9127,0.9513,0.0002505350256506492
9,0.0731,0.98,0.6573,0.8303,0.6965,0.8981,0.873,0.9628,0.00023837389521772463
10,0.0577,0.9837,0.6384,0.8303,0.6784,0.8942,0.881,0.9513,0.00022524999999999992
11,0.0349,0.9908,0.716,0.827,0.6704,0.892,0.9167,0.9513,0.0002113071281398321
12,0.0351,0.9896,0.7719,0.7903,0.6443,0.8682,0.8413,0.957,0.00019669804065905458
13,0.0258,0.9917,0.7308,0.8436,0.7136,0.8895,0.8968,0.9484,0.00018158279777725494
14,0.0208,0.9942,0.7785,0.8436,0.7104,0.9082,0.9087,0.9513,0.00016612700525851415
15,0.0152,0.9962,0.9113,0.8353,0.6814,0.8899,0.9048,0.9542,0.0001505
16,0.0342,0.9917,0.861,0.822,0.6396,0.8713,0.9206,0.9398,0.0001348729947414858
17,0.02,0.9937,0.763,0.8403,0.7017,0.8982,0.8849,0.9628,0.00011941720222274492
18,0.0135,0.9967,0.7948,0.8319,0.6675,0.8866,0.8849,0.9656,0.00010430195934094534
19,0.0119,0.9954,0.779,0.8253,0.672,0.894,0.9087,0.9513,8.969287186016786e-05
20,0.0087,0.9975,0.8024,0.8436,0.6957,0.9009,0.9206,0.9542,7.575000000000001e-05
