epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_qwk,val_referable_sensitivity,val_referable_specificity,val_mae,val_severe_error_rate,lr
1,0.5816,0.5824,0.5569,0.594,0.3727,0.7495,0.9365,0.894,0.6839,0.2429,0.0002991810233575568
2,0.4134,0.6279,0.4769,0.6789,0.4835,0.8448,0.7778,0.9628,0.4143,0.0832,0.0002967330663097039
3,0.385,0.6567,0.442,0.6439,0.4366,0.813,0.9127,0.914,0.5125,0.1398,0.0002926829491861254
4,0.3372,0.6783,0.433,0.6439,0.4259,0.8126,0.8968,0.9312,0.5258,0.1581,0.00028707504591756876
5,0.3134,0.6888,0.4085,0.6373,0.4086,0.8142,0.8889,0.9341,0.5291,0.1531,0.00027997079786577355
6,0.3037,0.7067,0.4783,0.6789,0.4849,0.843,0.7619,0.9742,0.411,0.0799,0.0002714480406590546
7,0.2744,0.7238,0.4195,0.6522,0.4301,0.8283,0.873,0.9513,0.4875,0.1281,0.0002616001514088704
8,0.2627,0.7372,0.445,0.7138,0.5422,0.8575,0.8016,0.957,0.3677,0.0682,0.0002505350256506492
9,0.2552,0.7422,0.4156,0.7055,0.513,0.8659,0.877,0.9542,0.376,0.0749,0.00023837389521772463
10,0.245,0.7568,0.429,0.7205,0.5266,0.864,0.8175,0.957,0.3611,0.0732,0.00022524999999999992
11,0.2331,0.7739,0.4058,0.7238,0.5398,0.869,0.9008,0.9542,0.3644,0.0832,0.0002113071281398321
12,0.2264,0.7864,0.4237,0.7072,0.5106,0.866,0.8849,0.9398,0.3744,0.0749,0.00019669804065905458
13,0.2188,0.7906,0.4144,0.7205,0.5445,0.8739,0.869,0.9456,0.3527,0.0682,0.00018158279777725494
14,0.2156,0.7943,0.4246,0.6955,0.5003,0.8614,0.8254,0.9484,0.3877,0.0765,0.00016612700525851415
15,0.2137,0.7993,0.4531,0.7537,0.597,0.8914,0.873,0.9456,0.2962,0.0449,0.0001505
16,0.2092,0.8156,0.4181,0.7288,0.5541,0.8797,0.8849,0.9312,0.3344,0.0566,0.0001348729947414858
17,0.2054,0.8169,0.4075,0.7354,0.5714,0.8809,0.8889,0.9513,0.3328,0.0632,0.00011941720222274492
18,0.2062,0.8169,0.4218,0.7155,0.533,0.8804,0.8452,0.957,0.3444,0.0549,0.00010430195934094534
19,0.2011,0.8152,0.4314,0.7338,0.5646,0.8779,0.8929,0.9484,0.3378,0.0666,8.969287186016786e-05
20,0.201,0.8164,0.4195,0.7354,0.5746,0.8909,0.9048,0.9456,0.3195,0.0516,7.575000000000001e-05
21,0.2015,0.8244,0.4183,0.7321,0.5674,0.8786,0.8849,0.9484,0.3378,0.0649,6.262610478227527e-05
22,0.1971,0.8281,0.4123,0.7271,0.5502,0.8785,0.8929,0.9398,0.3428,0.0649,5.046497434935074e-05
