epoch,train_loss,val_accuracy,val_macro_f1,val_qwk,val_sensitivity,val_specificity,lr,duration
1,0.3536,0.8053,0.5897,0.8501,0.9087,0.9341,0.00029917828430524096,296.8
2,0.2354,0.8087,0.6209,0.8809,0.9603,0.8911,0.0002967221401100708,320.6
3,0.1924,0.8319,0.6495,0.888,0.9444,0.9312,0.00029265847744427303,368.2
4,0.1496,0.8403,0.7123,0.9156,0.9444,0.9427,0.0002870318186463901,351.3
5,0.1333,0.812,0.7024,0.8881,0.7857,0.9656,0.0002799038105676658,338.8
6,0.0973,0.7804,0.6098,0.8652,0.8889,0.9255,0.0002713525491562421,342.4
7,0.0852,0.8453,0.6959,0.8968,0.9206,0.9456,0.00026147172382160914,333.9
8,0.0815,0.827,0.6878,0.8872,0.881,0.957,0.00025036959095382875,345.9
9,0.0497,0.8469,0.7027,0.8962,0.9405,0.9398,0.000238167787843871,336.1
10,0.0357,0.8253,0.6503,0.8749,0.8929,0.9599,0.00022500000000000002,347.7
11,0.0266,0.812,0.6529,0.8917,0.9484,0.9284,0.0002110104964613701,353.9
