epoch,train_loss,val_accuracy,val_macro_f1,val_qwk,val_sensitivity,val_specificity,lr,duration
1,0.6051,0.7438,0.5608,0.8368,0.8214,0.9599,0.00029917828430524096,512.8
2,0.4341,0.7754,0.6375,0.8747,0.877,0.9398,0.0002967221401100708,547.0
3,0.3763,0.8236,0.6948,0.8949,0.869,0.957,0.00029265847744427303,580.6
4,0.28,0.8186,0.6894,0.8972,0.869,0.9656,0.0002870318186463901,565.8
5,0.2226,0.787,0.6568,0.8871,0.7897,0.9742,0.0002799038105676658,556.3
6,0.1759,0.8053,0.6412,0.8757,0.869,0.9456,0.0002713525491562421,558.6
7,0.1521,0.8037,0.6593,0.8807,0.877,0.9513,0.00026147172382160914,545.8
8,0.1372,0.8003,0.65,0.8773,0.873,0.9456,0.00025036959095382875,542.2
9,0.0925,0.8186,0.6772,0.8885,0.9127,0.9484,0.000238167787843871,545.8
10,0.0774,0.8103,0.698,0.8977,0.8254,0.9599,0.00022500000000000002,558.0
11,0.0526,0.8403,0.7133,0.9079,0.9127,0.9456,0.0002110104964613701,542.2
12,0.0647,0.7937,0.6561,0.892,0.9048,0.937,0.00019635254915624216,551.8
13,0.0593,0.8153,0.6862,0.8944,0.8929,0.9542,0.00018118675362266393,543.3
14,0.0366,0.822,0.6854,0.9027,0.9008,0.9484,0.0001656792694901481,556.3
15,0.0342,0.822,0.6677,0.8956,0.8889,0.9456,0.0001500000000000001,563.3
16,0.0245,0.8136,0.6513,0.8952,0.873,0.9599,0.00013432073050985205,530.8
17,0.0161,0.822,0.6824,0.8943,0.881,0.9542,0.00011881324637733612,539.4
18,0.0165,0.827,0.6741,0.892,0.9008,0.9484,0.00010364745084375793,530.5
