perturbation_family,severity,condition_description,accuracy,macro_f1,weighted_f1,qwk,mae,referable_sensitivity,referable_specificity,macro_roc_auc,recall_g0,recall_g1,recall_g2,recall_g3,recall_g4,uncal_ece,cal_ece,uncal_ref_ece,cal_ref_ece,delta_macro_f1,pct_drop_macro_f1,delta_sensitivity,screening_risk_flag,f1_failure_flag
clean,0,Clean Baseline,0.8403,0.7123,0.8387,0.9156,0.1997,0.9444,0.9427,0.9475,0.9864,0.5926,0.8121,0.4857,0.5962,0.0797,0.0377,0.0438,0.0359,0.0,0.0,0.0,False,False
gaussian_blur,1,"Subtle blur (k=3, s=0.5)",0.8386,0.7038,0.8363,0.9204,0.1947,0.9444,0.9312,0.9475,0.9864,0.5185,0.8303,0.4857,0.5962,0.0717,0.0305,0.0385,0.0326,-0.0085,1.19,0.0,False,False
gaussian_blur,2,"Mild defocus (k=5, s=1.0)",0.8369,0.6816,0.8274,0.9125,0.203,0.9643,0.9083,0.9474,0.9932,0.3704,0.8848,0.4857,0.5192,0.0537,0.0337,0.0414,0.0295,-0.0307,4.31,0.0199,False,False
gaussian_blur,3,"Moderate defocus (k=9, s=2.0)",0.8103,0.6107,0.7921,0.8948,0.2379,0.9603,0.8768,0.9392,0.9932,0.2037,0.8848,0.3714,0.4615,0.0525,0.0334,0.0299,0.03,-0.1016,14.26,0.0159,False,True
gaussian_blur,4,"Severe blur (k=15, s=3.5)",0.782,0.5166,0.7479,0.8601,0.2862,0.9603,0.8596,0.9201,0.9864,0.1111,0.9152,0.2,0.2885,0.0445,0.0632,0.0349,0.0473,-0.1957,27.47,0.0159,False,True
gaussian_blur,5,"Extreme blur (k=21, s=5.0)",0.772,0.4801,0.7295,0.8358,0.3111,0.9484,0.8653,0.9142,0.9864,0.1296,0.9212,0.1429,0.1731,0.081,0.0909,0.037,0.0491,-0.2322,32.6,0.004,False,True
gaussian_noise,1,Low sensor noise (sigma=5),0.7687,0.5897,0.7585,0.8292,0.3594,0.9484,0.8711,0.9155,0.9729,0.1852,0.6788,0.4857,0.6923,0.0993,0.0408,0.0678,0.0511,-0.1226,17.21,0.004,False,True
gaussian_noise,2,Mild sensor noise (sigma=15),0.5141,0.2844,0.4748,0.4038,0.9135,0.5952,0.7937,0.7408,0.8373,0.0185,0.2485,0.4571,0.0769,0.1119,0.0717,0.1328,0.1014,-0.4279,60.07,-0.3492,True,True
gaussian_noise,3,Moderate sensor noise (sigma=25),0.218,0.15,0.2388,0.1497,1.6805,0.8373,0.3095,0.6234,0.3254,0.0,0.0061,0.6571,0.2115,0.1333,0.1717,0.2322,0.2419,-0.5623,78.94,-0.1071,True,True
gaussian_noise,4,High sensor noise (sigma=40),0.1115,0.0767,0.0531,0.0148,2.5607,1.0,0.0258,0.5943,0.0305,0.0,0.0,0.3714,0.8654,0.2056,0.2388,0.2682,0.2937,-0.6356,89.23,0.0556,False,True
gaussian_noise,5,Severe sensor noise (sigma=60),0.0948,0.0664,0.024,-0.0061,2.7654,1.0,0.0,0.5932,0.0,0.0,0.0,0.2,0.9615,0.2921,0.3507,0.2308,0.2573,-0.6459,90.68,0.0556,False,True
brightness,1,Severe underexposure (-60%),0.8087,0.5797,0.7812,0.8556,0.2646,0.9325,0.9112,0.9356,0.9932,0.2963,0.9273,0.1714,0.3462,0.0419,0.0588,0.0406,0.0309,-0.1326,18.62,-0.0119,False,True
brightness,2,Moderate underexposure (-30%),0.8253,0.6738,0.8205,0.8951,0.2263,0.9087,0.937,0.9458,0.9932,0.537,0.8121,0.4286,0.4808,0.047,0.0277,0.0399,0.0331,-0.0385,5.41,-0.0357,False,False
brightness,3,Moderate overexposure (+30%),0.8203,0.6591,0.8123,0.9071,0.2213,0.9365,0.9026,0.9449,0.9763,0.3519,0.8485,0.3714,0.6346,0.0739,0.0259,0.0354,0.0198,-0.0532,7.47,-0.0079,False,False
brightness,4,Severe overexposure (+60%),0.8353,0.6685,0.8256,0.8857,0.2213,0.9206,0.9398,0.9382,0.9763,0.5926,0.8909,0.2571,0.5,0.0811,0.0424,0.0579,0.0479,-0.0438,6.15,-0.0238,False,False
contrast,1,Severe contrast loss (-60%),0.787,0.5515,0.7623,0.8368,0.2962,0.869,0.9312,0.9236,0.9932,0.4074,0.8303,0.0857,0.3462,0.0421,0.0638,0.0675,0.0546,-0.1608,22.57,-0.0754,True,True
contrast,2,Moderate contrast loss (-30%),0.827,0.67,0.8189,0.8828,0.2346,0.9008,0.937,0.9414,0.9932,0.537,0.8303,0.3429,0.5,0.0604,0.0314,0.0556,0.0465,-0.0423,5.94,-0.0436,False,False
contrast,3,Moderate contrast increase (+30%),0.812,0.6412,0.8023,0.9049,0.2329,0.9524,0.8911,0.9419,0.9831,0.2593,0.8242,0.4857,0.5962,0.0613,0.0166,0.0351,0.0263,-0.0711,9.98,0.008,False,False
contrast,4,Severe contrast increase (+60%),0.812,0.6279,0.7989,0.8939,0.2396,0.9643,0.8768,0.9365,0.9831,0.2222,0.8606,0.4571,0.5385,0.0699,0.0256,0.0402,0.0403,-0.0844,11.85,0.0199,False,True
jpeg_compression,1,Light compression (Q=80),0.8353,0.7026,0.8328,0.9091,0.208,0.9246,0.9398,0.9482,0.9831,0.5741,0.8182,0.5429,0.5192,0.0741,0.034,0.0406,0.0347,-0.0097,1.36,-0.0198,False,False
jpeg_compression,2,Moderate compression (Q=60),0.8136,0.6565,0.8099,0.8934,0.2413,0.9365,0.9312,0.9406,0.9864,0.4815,0.7879,0.4286,0.5192,0.0888,0.0459,0.0566,0.0356,-0.0558,7.83,-0.0079,False,False
jpeg_compression,3,Aggressive compression (Q=40),0.8053,0.6058,0.7852,0.877,0.2562,0.9365,0.894,0.9392,0.9932,0.2222,0.8727,0.3429,0.4423,0.0402,0.0435,0.0338,0.0356,-0.1065,14.95,-0.0079,False,True
jpeg_compression,4,Severe compression (Q=20),0.782,0.5403,0.75,0.8394,0.3062,0.9524,0.8739,0.9009,0.9864,0.0926,0.8727,0.3143,0.3654,0.1216,0.0602,0.0666,0.0545,-0.172,24.15,0.008,False,True
jpeg_compression,5,Extreme compression (Q=10),0.4509,0.3116,0.4953,0.3875,1.1664,0.996,0.4814,0.763,0.5661,0.0,0.3879,0.4857,0.4423,0.1059,0.103,0.2952,0.3042,-0.4007,56.25,0.0516,False,True
